name,attachment_type
Classic Red Dot Sight,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
40 Round Extended Mag,Ammunition
Granulated Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
Long Shot,Perk
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
YKM Integral Suppressor Light,Barrel
Red Dot Sight 3,Optic
Merc Foregrip,Underbarrel
Holographic Sight 3,Optic
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
MIP Light Muzzle Brake,Muzzle
MIP Light Barrel (Short),Barrel
3X Tactical Scope 2,Optic
Operator Foregrip,Underbarrel
Classic Holographic Sight,Optic
MIP Strike Stock,Stock
3X Tactical Scope 3,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
Red Dot Sight 4,Optic
OWC Ranger,Barrel
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
MIP Light,Barrel
Holographic Sight 1,Optic
50 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
4.4X Tactical Scope OWC,Optic
YKM Combat Stock,Stock
Wounding,Perk
4.4X Tactical Scope RTC,Optic
MIP Light Flash Guard,Muzzle
Red Dot Sight 1,Optic
Tactical Foregrip A,Underbarrel
OWC Marksman,Barrel
Red Dot Sight 2,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Tactical Scope,Optic
No Stock,Stock
Monolithic Suppressor,Muzzle
Disable,Perk
OWC Laser - Tactical,Laser
